algorithm_name,policy_csv_file,trial_id,random_seed,num_bins,num_robots,elapsed_timesteps,total_successful_picks,total_failed_attempts,total_attempts,total_missed_items,successful_picks_per_1000_timesteps,missing_state_count,invalid_action_count,simulation_status,R1_successful_picks,R1_failed_attempts,R2_successful_picks,R2_failed_attempts,A_successful_picks,A_missed_items,B_successful_picks,B_missed_items,C_successful_picks,C_missed_items,D_successful_picks,D_missed_items,E_successful_picks,E_missed_items
example,policy.example.csv,1,42,15,2,2,0,1,1,0,0.000000,1,0,stopped_missing_state,0,1,0,0,0,0,0,0,0,0,0,0,0,0
example,policy.example.csv,2,43,15,2,10,5,0,5,0,500.000000,0,0,complete,4,0,1,0,2,0,1,0,0,0,1,0,1,0
example,policy.example.csv,3,44,15,2,4,2,1,3,0,500.000000,1,0,stopped_missing_state,2,1,0,0,1,0,0,0,0,0,0,0,1,0
example,policy.example.csv,4,45,15,2,10,5,0,5,0,500.000000,0,0,complete,4,0,1,0,2,0,1,0,0,0,1,0,1,0
example,policy.example.csv,5,46,15,2,2,0,1,1,0,0.000000,1,0,stopped_missing_state,0,1,0,0,0,0,0,0,0,0,0,0,0,0
example,policy.example.csv,6,47,15,2,10,5,0,5,0,500.000000,0,0,complete,4,0,1,0,2,0,1,0,0,0,1,0,1,0
example,policy.example.csv,7,48,15,2,2,0,1,1,0,0.000000,1,0,stopped_missing_state,0,1,0,0,0,0,0,0,0,0,0,0,0,0
example,policy.example.csv,8,49,15,2,5,3,1,4,0,600.000000,1,0,stopped_missing_state,3,1,0,0,2,0,0,0,0,0,0,0,1,0
example,policy.example.csv,9,50,15,2,10,5,0,5,0,500.000000,0,0,complete,4,0,1,0,2,0,1,0,0,0,1,0,1,0
example,policy.example.csv,10,51,15,2,5,3,1,4,0,600.000000,1,0,stopped_missing_state,3,1,0,0,2,0,0,0,0,0,0,0,1,0
